timestamp,device_id,action,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration_sec,severity,policy_name,country_src,country_dst
2026-03-21 18:55:34,FGT-02,ALLOW,156.222.98.110,133.148.118.251,38687,8080,ICMP,382621,227639,2525,high,dmz-policy,BR,RU
2026-03-21 19:29:24,FGT-01,DENY,146.238.17.254,10.63.6.66,40108,80,UDP,109687,529844,3249,high,internal-only,CN,DE
2026-03-21 07:47:07,FGT-03,DROP,10.33.87.5,10.154.157.209,52088,53,TCP,250078,305785,1159,medium,internet-access,MX,MX
2026-03-21 13:12:32,FGT-02,ALLOW,10.14.6.83,110.20.108.244,56133,445,TCP,200225,210979,954,critical,vpn-split,BR,KP
2026-03-21 03:16:11,FGT-01,ALLOW,210.164.78.253,185.96.3.4,26041,3389,TCP,390403,239891,1466,high,internet-access,BR,IN
2026-03-21 02:42:43,FGT-03,DROP,10.162.125.148,10.70.179.253,39755,80,UDP,377591,223219,2008,medium,internal-only,RU,US
2026-03-21 17:36:10,FGT-01,ALLOW,135.152.162.222,10.212.5.191,54044,22,ICMP,426083,400252,414,critical,vpn-split,CN,KP
2026-03-21 16:51:44,FGT-02,ALLOW,10.237.25.145,10.93.20.171,10323,80,UDP,324623,374143,1050,low,vpn-split,MX,MX
2026-03-21 22:37:06,FGT-03,ALLOW,10.216.122.246,10.181.18.206,58141,22,UDP,324600,888253,1054,low,dmz-policy,CN,PA
2026-03-21 08:28:31,FGT-01,ALLOW,10.48.142.77,10.156.198.238,54426,80,TCP,335337,652966,838,low,internet-access,DE,IN
2026-03-21 01:59:18,FGT-02,ALLOW,10.147.53.57,10.92.203.75,7792,3389,UDP,104415,943263,2029,low,dmz-policy,CN,DE
2026-03-21 05:19:42,FGT-01,ALLOW,10.125.7.22,10.237.39.188,35358,445,UDP,486950,434509,3413,low,internet-access,GB,PA
2026-03-21 03:14:12,FGT-02,DROP,148.162.10.239,10.170.233.97,60451,22,TCP,393722,774603,1770,low,dmz-policy,CN,GB
2026-03-21 08:52:19,FGT-01,DENY,58.209.17.88,98.35.188.121,27217,22,UDP,196437,169731,3564,medium,vpn-split,KP,PA
2026-03-21 15:51:18,FGT-01,DENY,10.152.249.126,10.76.254.192,38224,445,TCP,241598,311449,2891,medium,internal-only,CN,PA
2026-03-21 01:05:30,FGT-02,ALLOW,10.80.31.110,10.200.4.88,58394,445,ICMP,324013,727046,992,high,internet-access,RU,BR
2026-03-21 12:50:40,FGT-01,DROP,10.57.182.94,10.222.41.183,55324,80,TCP,94232,906339,3312,high,dmz-policy,BR,US
2026-03-21 22:00:39,FGT-02,ALLOW,10.0.99.143,10.194.73.116,57657,445,TCP,331622,19366,2221,medium,vpn-split,DE,RU
2026-03-21 19:45:48,FGT-02,ALLOW,10.126.21.154,10.195.80.226,36127,443,UDP,404544,305259,2928,low,internal-only,US,PA
2026-03-21 06:21:37,FGT-03,ALLOW,10.41.247.52,172.137.72.194,1869,3389,TCP,135642,57505,3063,high,internal-only,GB,US
2026-03-21 16:08:31,FGT-01,ALLOW,164.79.251.65,10.96.31.165,64001,8080,ICMP,151982,898941,1388,low,dmz-policy,GB,KP
2026-03-21 05:47:36,FGT-02,ALLOW,180.196.13.7,10.101.126.37,39961,8080,UDP,297512,897208,3438,low,dmz-policy,GB,PA
2026-03-21 23:50:57,FGT-01,RESET,19.152.204.54,10.113.73.139,54710,22,UDP,378092,176151,1912,low,internal-only,PA,CN
2026-03-21 20:52:10,FGT-03,ALLOW,10.234.209.152,10.18.22.108,48245,8080,UDP,42688,931878,2461,low,internet-access,RU,CN
2026-03-21 04:27:42,FGT-03,DROP,51.255.214.214,10.70.109.191,32930,8080,ICMP,493730,298585,2007,low,internal-only,GB,RU
2026-03-21 00:11:04,FGT-01,DENY,112.107.21.216,10.119.194.186,63797,22,UDP,402170,33687,488,medium,internal-only,US,BR
2026-03-21 22:08:27,FGT-01,DENY,81.24.72.156,10.116.119.22,36436,443,TCP,473315,697703,3013,low,vpn-split,DE,PA
2026-03-21 23:11:29,FGT-02,DROP,213.220.212.22,10.92.162.15,61108,8080,ICMP,35104,439837,528,high,dmz-policy,PA,RU
2026-03-21 17:54:09,FGT-03,RESET,10.181.51.156,10.203.147.155,43767,53,ICMP,443178,847033,567,medium,internal-only,KP,MX
2026-03-21 08:38:17,FGT-01,DENY,10.9.71.197,10.170.28.243,16553,8080,UDP,493695,263627,1914,critical,dmz-policy,PA,RU
2026-03-21 14:27:45,FGT-01,ALLOW,177.168.206.53,92.207.191.164,43339,3389,UDP,312121,361936,2777,low,internet-access,RU,US
2026-03-21 23:27:16,FGT-02,ALLOW,124.143.131.26,10.82.219.213,61947,445,UDP,81290,361109,1259,low,internal-only,US,KP
2026-03-21 05:07:31,FGT-02,DENY,10.212.158.97,10.79.53.184,15266,8080,TCP,6359,613943,350,medium,internet-access,PA,IN
2026-03-21 23:49:41,FGT-03,RESET,10.108.163.126,10.67.125.252,13910,3389,UDP,295835,359317,1208,low,vpn-split,RU,PA
2026-03-21 19:15:08,FGT-01,RESET,69.166.62.99,10.127.49.39,7635,22,TCP,374339,853483,2177,medium,dmz-policy,DE,PA
2026-03-21 21:09:25,FGT-03,ALLOW,10.60.125.197,10.177.115.26,16697,22,UDP,412461,8122,22,high,internal-only,US,CN
2026-03-21 14:33:25,FGT-02,DENY,10.230.86.111,10.71.9.100,39396,8080,TCP,491751,485518,1207,high,internal-only,IN,BR
2026-03-21 18:55:04,FGT-02,DROP,147.40.99.45,20.83.105.199,28667,22,UDP,381504,614399,1415,medium,vpn-split,IN,GB
2026-03-21 18:50:01,FGT-01,ALLOW,73.209.194.107,10.204.94.211,16146,22,ICMP,247246,923488,585,low,vpn-split,DE,CN
2026-03-21 07:24:17,FGT-03,ALLOW,217.187.228.38,85.212.124.216,36047,8080,UDP,77303,227809,1052,low,internal-only,IN,DE
2026-03-21 15:50:10,FGT-03,ALLOW,10.218.155.104,10.133.31.114,10493,443,UDP,422069,600100,1557,low,internal-only,GB,RU
2026-03-21 09:43:45,FGT-01,RESET,10.241.178.9,10.194.138.247,11964,80,TCP,98949,188512,1090,medium,internet-access,US,GB
2026-03-21 13:16:40,FGT-02,ALLOW,139.103.32.41,10.240.11.35,53814,80,TCP,214727,703303,1388,low,internet-access,BR,DE
2026-03-21 22:43:07,FGT-03,RESET,95.71.63.254,10.252.12.87,4660,3389,UDP,403557,469684,2234,low,internal-only,US,PA
2026-03-21 17:53:58,FGT-01,ALLOW,199.126.42.39,10.177.162.224,29391,443,ICMP,164519,335616,261,low,internal-only,BR,IN
2026-03-21 07:59:53,FGT-02,DENY,10.194.37.51,10.72.72.79,6559,8080,UDP,55104,907294,1079,low,dmz-policy,PA,US
2026-03-21 00:35:18,FGT-03,ALLOW,10.105.208.3,10.196.92.105,24356,8080,TCP,485534,619227,1942,medium,internal-only,CN,DE
2026-03-21 21:00:23,FGT-01,DENY,195.222.143.37,10.10.22.111,32689,445,UDP,244888,191557,3575,medium,internal-only,KP,US
2026-03-21 21:39:32,FGT-03,ALLOW,10.89.242.182,10.24.172.23,52036,443,UDP,332376,959501,541,medium,internal-only,RU,BR
2026-03-21 12:40:59,FGT-03,ALLOW,60.224.228.152,97.140.8.103,5851,80,ICMP,367670,800397,2398,medium,internet-access,RU,RU
2026-03-21 10:55:53,FGT-01,ALLOW,127.225.239.115,10.201.46.72,3981,3389,TCP,210057,686703,1909,low,internal-only,RU,DE
2026-03-21 11:09:01,FGT-02,DENY,17.198.20.121,178.67.81.185,48881,80,TCP,141809,491942,1183,medium,internal-only,IN,US
2026-03-21 05:24:13,FGT-01,ALLOW,219.146.34.15,10.216.92.88,57258,53,UDP,478779,643489,1236,low,internet-access,GB,GB
2026-03-21 17:53:15,FGT-02,ALLOW,10.85.18.104,72.207.129.86,32314,445,TCP,325368,850774,1543,medium,dmz-policy,CN,DE
2026-03-21 13:22:33,FGT-03,ALLOW,130.53.3.56,10.181.226.187,25996,53,TCP,201494,898867,2121,low,internet-access,BR,RU
2026-03-21 07:30:25,FGT-02,DROP,31.192.223.196,10.201.127.15,3413,53,ICMP,442235,529890,3353,medium,internal-only,MX,GB
2026-03-21 08:17:30,FGT-02,ALLOW,10.87.181.224,10.108.71.27,48105,8080,UDP,263261,93679,491,medium,vpn-split,IN,CN
2026-03-21 12:09:01,FGT-02,ALLOW,10.219.48.130,10.111.127.115,54801,80,TCP,330783,125633,2014,medium,vpn-split,MX,MX
2026-03-21 17:37:42,FGT-03,ALLOW,10.5.208.98,186.54.212.205,31264,22,UDP,57289,107453,1515,low,dmz-policy,GB,DE
2026-03-21 15:41:43,FGT-02,ALLOW,10.79.229.252,10.114.5.136,52264,80,ICMP,68082,803622,962,low,internet-access,GB,GB
2026-03-21 12:40:27,FGT-01,ALLOW,10.133.92.167,10.170.9.46,21302,3389,TCP,133180,62548,1884,low,vpn-split,RU,US
2026-03-21 21:53:14,FGT-02,ALLOW,84.39.87.57,10.5.149.153,38278,22,TCP,250738,161964,2394,low,internet-access,BR,CN
2026-03-21 03:44:21,FGT-01,RESET,10.118.174.221,153.22.200.137,19670,53,TCP,60970,415308,995,medium,dmz-policy,IN,KP
2026-03-21 15:47:54,FGT-01,DENY,10.191.58.144,10.188.34.50,42748,8080,UDP,300332,915588,1735,critical,internal-only,DE,IN
2026-03-21 08:10:39,FGT-03,RESET,10.55.7.111,91.175.129.237,10474,443,UDP,103663,524659,1127,low,dmz-policy,BR,BR
2026-03-21 11:05:53,FGT-02,DROP,21.64.144.5,96.11.226.63,42462,8080,ICMP,92768,810202,2471,low,internet-access,MX,RU
2026-03-21 15:54:44,FGT-02,DENY,56.135.211.126,10.9.162.12,47578,443,TCP,416878,866451,1078,low,vpn-split,GB,PA
2026-03-21 01:12:32,FGT-03,DENY,91.185.228.126,66.144.64.198,23175,22,TCP,64773,15930,2429,medium,internal-only,KP,IN
2026-03-21 03:53:28,FGT-03,ALLOW,216.36.172.130,10.203.144.164,29064,445,ICMP,353439,519977,1766,medium,dmz-policy,CN,PA
2026-03-21 02:11:34,FGT-02,ALLOW,204.155.77.123,10.77.221.55,42746,53,TCP,439252,486264,1013,high,internal-only,GB,GB
2026-03-21 16:43:24,FGT-01,DENY,146.124.107.225,173.197.94.240,17362,80,ICMP,403578,370787,150,low,dmz-policy,IN,MX
2026-03-21 13:10:28,FGT-03,DROP,174.50.132.8,10.202.34.73,43282,53,UDP,256607,524780,523,low,internal-only,CN,PA
2026-03-21 06:43:32,FGT-01,ALLOW,223.18.2.229,34.9.247.161,6245,53,UDP,89378,966869,3307,low,vpn-split,MX,US
2026-03-21 20:50:35,FGT-03,DENY,10.185.209.138,72.84.159.155,49366,80,UDP,172292,75685,2399,low,internal-only,US,CN
2026-03-21 19:23:29,FGT-01,DENY,10.185.38.139,10.139.249.39,35395,3389,UDP,395559,645785,3083,medium,dmz-policy,PA,IN
2026-03-21 00:57:45,FGT-03,ALLOW,10.193.166.144,10.83.125.179,39010,3389,TCP,322140,285443,1321,medium,internal-only,IN,PA
2026-03-21 06:39:16,FGT-03,ALLOW,10.95.225.51,37.18.88.215,1401,3389,TCP,322734,768274,482,high,dmz-policy,DE,GB
2026-03-21 11:28:33,FGT-02,DENY,93.124.141.245,205.41.248.104,35984,80,ICMP,483316,497532,3463,low,internet-access,KP,GB
