timestamp,account_id,interface_id,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,action,log_status
2026-03-17 08:53:09,123456789012,eni-abc123,10.170.241.52,10.211.250.209,61541,443,17,125,3481639,ACCEPT,OK
2026-03-17 05:03:49,123456789012,eni-ghi789,132.102.180.130,216.163.123.28,20558,443,17,7690,7251032,REJECT,OK
2026-03-17 13:52:24,123456789012,eni-abc123,10.181.9.105,55.187.153.205,44501,5432,17,5843,9479215,REJECT,OK
2026-03-17 10:37:03,123456789012,eni-ghi789,10.79.47.226,131.254.7.96,8848,3306,1,311,1162109,REJECT,OK
2026-03-17 09:21:14,123456789012,eni-abc123,10.80.183.76,11.132.252.206,12924,6379,1,5245,984390,ACCEPT,OK
2026-03-17 09:52:41,123456789012,eni-abc123,10.173.222.59,10.22.68.189,21336,80,6,5196,9837553,ACCEPT,OK
2026-03-17 08:51:46,123456789012,eni-ghi789,10.127.197.251,30.238.189.98,13538,80,6,4552,7889420,ACCEPT,OK
2026-03-17 19:28:34,123456789012,eni-abc123,157.154.43.243,30.97.191.26,47784,6379,6,4693,5669352,ACCEPT,OK
2026-03-17 19:57:55,123456789012,eni-ghi789,10.128.164.81,10.144.43.43,56376,3306,1,6142,8029373,REJECT,OK
2026-03-17 12:14:27,123456789012,eni-abc123,4.111.96.15,168.175.218.130,59604,5432,6,3156,5742511,ACCEPT,OK
2026-03-17 08:28:53,123456789012,eni-ghi789,152.210.104.144,10.223.143.59,62366,3306,6,3509,9799632,ACCEPT,OK
2026-03-17 16:39:00,123456789012,eni-ghi789,10.125.184.168,10.214.102.159,44007,6379,1,1099,9954730,ACCEPT,OK
2026-03-17 11:11:43,123456789012,eni-ghi789,10.86.243.95,10.81.251.200,1533,6379,1,7893,9105138,REJECT,OK
2026-03-17 22:05:55,123456789012,eni-def456,10.165.82.95,10.46.202.127,58816,443,6,5694,4472720,ACCEPT,OK
2026-03-17 03:12:50,123456789012,eni-ghi789,10.255.245.253,175.6.56.29,57890,5432,17,6751,4034662,ACCEPT,OK
2026-03-17 10:22:03,123456789012,eni-def456,209.244.34.68,10.5.36.13,52621,22,17,6351,7172507,ACCEPT,OK
2026-03-17 00:45:32,123456789012,eni-ghi789,10.55.17.202,10.82.62.218,33008,5432,17,9997,2271154,REJECT,OK
2026-03-17 06:53:10,123456789012,eni-ghi789,10.209.38.216,10.154.34.29,34504,443,17,3229,648183,REJECT,OK
2026-03-17 23:44:42,123456789012,eni-def456,198.234.200.226,10.226.146.173,12336,80,6,6742,7044790,ACCEPT,OK
2026-03-17 15:13:52,123456789012,eni-def456,204.36.114.230,10.252.239.42,63390,5432,1,536,475805,ACCEPT,OK
2026-03-17 16:20:35,123456789012,eni-abc123,11.233.76.170,10.77.213.185,37748,80,6,8848,3960617,REJECT,OK
2026-03-17 11:46:15,123456789012,eni-ghi789,10.169.94.190,94.140.14.201,54293,80,17,6289,3573343,ACCEPT,OK
2026-03-17 17:57:00,123456789012,eni-abc123,10.190.215.225,10.171.68.191,57537,80,17,2195,5555546,ACCEPT,OK
2026-03-17 16:58:45,123456789012,eni-ghi789,10.29.61.176,10.237.109.29,3252,3306,17,5497,1811965,ACCEPT,OK
2026-03-17 09:41:20,123456789012,eni-abc123,10.149.158.45,10.142.133.251,22851,3306,1,3018,5785764,ACCEPT,OK
2026-03-17 13:18:05,123456789012,eni-abc123,208.211.242.152,5.49.201.123,54078,6379,1,4462,4752489,ACCEPT,OK
2026-03-17 09:45:36,123456789012,eni-def456,10.177.181.219,10.49.73.85,40319,443,6,1280,1569097,ACCEPT,OK
2026-03-17 05:38:17,123456789012,eni-ghi789,10.142.34.3,10.101.2.216,59810,6379,6,3651,2108383,ACCEPT,OK
2026-03-17 08:35:35,123456789012,eni-ghi789,220.223.15.183,10.16.222.254,52843,6379,6,5530,4116393,ACCEPT,OK
2026-03-17 20:45:26,123456789012,eni-def456,10.171.73.13,10.210.67.178,10381,443,1,7896,1639936,ACCEPT,OK
2026-03-17 08:57:37,123456789012,eni-ghi789,180.189.114.118,10.43.23.78,12755,80,1,5871,9171327,ACCEPT,OK
2026-03-17 17:53:35,123456789012,eni-ghi789,10.162.142.234,10.197.147.234,35531,22,6,4321,1606450,ACCEPT,OK
2026-03-17 09:00:42,123456789012,eni-def456,69.32.174.53,10.59.28.62,14058,80,17,106,8737848,ACCEPT,OK
2026-03-17 18:24:32,123456789012,eni-ghi789,77.133.235.1,6.65.81.141,48434,80,17,9204,8524783,ACCEPT,OK
2026-03-17 13:34:03,123456789012,eni-ghi789,77.128.76.108,10.32.221.194,3886,22,6,4201,7486558,REJECT,OK
2026-03-17 11:41:31,123456789012,eni-ghi789,10.153.199.5,10.7.198.175,56474,443,6,1971,7604967,REJECT,OK
2026-03-17 20:07:25,123456789012,eni-def456,168.130.33.72,10.184.96.132,2098,80,6,7831,6510813,ACCEPT,OK
2026-03-17 11:10:11,123456789012,eni-def456,146.59.26.208,10.66.21.128,42130,6379,6,3151,1034152,ACCEPT,OK
2026-03-17 05:37:23,123456789012,eni-ghi789,10.112.169.42,42.225.43.128,10337,80,17,3708,2987133,ACCEPT,OK
2026-03-17 00:34:42,123456789012,eni-abc123,10.166.33.231,182.63.20.18,56853,22,17,613,1780395,ACCEPT,OK
2026-03-17 19:08:34,123456789012,eni-ghi789,10.174.27.228,10.235.250.239,17956,3306,1,3050,5421733,ACCEPT,OK
2026-03-17 00:43:55,123456789012,eni-ghi789,10.76.208.215,10.159.10.173,53566,22,6,5747,891424,REJECT,OK
2026-03-17 22:46:16,123456789012,eni-def456,10.134.111.162,66.145.50.201,44623,80,1,4748,272449,ACCEPT,OK
2026-03-17 08:45:07,123456789012,eni-def456,10.73.4.220,2.199.176.237,57479,6379,1,1033,3744014,ACCEPT,OK
2026-03-17 13:50:44,123456789012,eni-ghi789,100.201.39.153,117.233.200.29,22376,443,1,8241,5558343,ACCEPT,OK
2026-03-17 05:09:17,123456789012,eni-abc123,10.179.154.252,10.157.77.181,50295,443,17,9392,872888,ACCEPT,OK
2026-03-17 04:59:54,123456789012,eni-abc123,207.228.43.5,10.233.133.201,6185,22,1,342,6704114,ACCEPT,OK
2026-03-17 20:32:52,123456789012,eni-def456,209.155.32.72,98.211.163.1,42542,80,17,3488,9875725,ACCEPT,OK
2026-03-17 20:53:33,123456789012,eni-abc123,111.203.146.201,109.225.20.134,41190,5432,17,5048,4094442,REJECT,OK
2026-03-17 07:35:02,123456789012,eni-def456,10.255.234.70,40.222.230.99,48522,22,6,7320,4701106,REJECT,OK
2026-03-17 05:53:55,123456789012,eni-abc123,141.244.98.127,57.201.240.209,46974,6379,1,8167,869370,ACCEPT,OK
2026-03-17 14:25:24,123456789012,eni-ghi789,10.93.52.229,10.220.86.125,27450,443,6,1873,8518949,ACCEPT,OK
2026-03-17 09:32:04,123456789012,eni-def456,10.100.85.192,117.177.61.127,24306,6379,1,1658,3614378,ACCEPT,OK
2026-03-17 00:38:22,123456789012,eni-ghi789,10.146.124.12,10.186.54.234,8931,5432,17,1808,1829172,ACCEPT,OK
2026-03-17 16:37:24,123456789012,eni-ghi789,10.57.28.135,10.67.130.236,19289,3306,17,2362,8562917,ACCEPT,OK
2026-03-17 01:00:05,123456789012,eni-def456,103.142.237.161,178.117.179.64,7891,5432,17,6731,7908687,ACCEPT,OK
2026-03-17 15:49:11,123456789012,eni-ghi789,10.200.75.79,221.47.133.216,11542,443,1,5896,6212891,REJECT,OK
2026-03-17 20:34:35,123456789012,eni-abc123,10.160.87.228,20.58.123.193,25084,3306,1,6081,8538638,REJECT,OK
2026-03-17 22:18:42,123456789012,eni-def456,10.106.252.202,10.103.40.82,1787,3306,6,86,9365177,ACCEPT,OK
2026-03-17 09:36:14,123456789012,eni-ghi789,59.73.42.21,10.44.73.9,19147,3306,6,2101,7437784,REJECT,OK
2026-03-17 14:43:50,123456789012,eni-def456,10.246.167.21,10.20.67.144,48321,80,6,2442,9591406,ACCEPT,OK
2026-03-17 20:51:38,123456789012,eni-abc123,10.123.109.4,10.82.2.238,46479,80,17,6240,7122538,ACCEPT,OK
2026-03-17 05:20:14,123456789012,eni-ghi789,136.177.192.210,133.24.81.189,19152,443,17,2665,4022401,ACCEPT,OK
2026-03-17 15:16:17,123456789012,eni-ghi789,55.86.15.94,10.12.231.65,16402,5432,6,9308,6032996,ACCEPT,OK
2026-03-17 21:03:21,123456789012,eni-abc123,10.140.158.38,182.50.9.142,39105,22,6,8795,1000442,REJECT,OK
2026-03-17 02:54:42,123456789012,eni-abc123,163.153.248.136,10.176.70.104,33135,5432,6,4146,3966797,REJECT,OK
2026-03-17 00:15:20,123456789012,eni-def456,10.70.68.97,87.50.17.42,3238,22,1,5848,6045484,ACCEPT,OK
